,Open,High,Close
168,800.109985,807.219971,806.929993
169,798.23999,800.200012,797.25
170,796.469971,799.539978,798.919983
171,797.330017,802.320007,800.119995
172,786.669983,807.48999,800.940002
173,797.710022,803.940002,791.340027
174,768.840027,768.969971,765.840027
175,758.969971,764.450012,761.969971
176,757.52002,759.26001,757.650024
177,757.679993,759.820007,757.52002
178,757.320007,759.450012,759.280029
179,757.0,758.150024,754.409973
180,754.049988,760.640015,757.080017
181,749.869995,756.590027,753.409973
182,737.909973,755.140015,753.200012
183,741.0,741.0,735.630005
184,733.940002,736.140015,735.799988
185,735.52002,735.52002,729.47998
186,731.919983,735.599976,732.51001
187,719.419983,728.929993,727.200012
188,710.559998,717.900024,717.780029
189,710.109985,710.169983,707.26001
190,699.840027,713.0,708.969971
191,705.01001,708.119995,704.890015
192,705.099976,712.530029,710.25
193,697.650024,703.77002,703.530029
194,694.26001,699.5,695.190002
195,691.369995,692.73999,691.26001
196,682.48999,683.330017,681.140015
197,690.169983,705.0,685.200012
198,710.549988,714.880005,714.869995
199,714.049988,714.210022,710.469971
200,710.049988,715.380005,708.880005
201,710.309998,715.869995,706.130005
202,721.390015,721.390015,704.25
203,727.960022,730.390015,724.25
204,734.919983,737.150024,732.190002
205,729.309998,736.0,733.25
206,729.820007,739.0,731.880005
207,735.950012,739.640015,733.190002
208,737.070007,743.929993,742.52002
209,739.5,743.809998,742.929993
210,733.27002,736.710022,731.090027
211,738.5,738.5,730.059998
212,741.48999,741.48999,735.859985
213,746.099976,747.299988,744.27002
214,748.469971,751.369995,748.460022
215,748.76001,753.47998,748.849976
216,737.51001,747.909973,747.599976
217,736.0,741.099976,736.929993
218,735.0,739.890015,738.099976
219,719.849976,734.200012,733.030029
220,719.97998,723.5,717.25
221,716.460022,727.700012,721.710022
222,718.299988,720.5,715.309998
223,718.5,725.570007,721.780029
224,731.059998,735.849976,720.190002
225,724.320007,732.679993,730.299988
226,726.619995,731.289978,724.830017
227,732.0,735.369995,728.070007
228,740.52002,740.799988,730.549988
229,734.960022,740.0,739.380005
230,726.700012,734.289978,729.130005
231,712.200012,725.98999,725.179993
232,715.0,717.549988,714.710022
233,706.77002,715.049988,711.369995
234,712.5,713.369995,708.440002
235,711.919983,715.409973,714.409973
236,704.119995,712.109985,707.880005
